"stéréotype";-1.03213;0.01603;-0.79061;0.02013;0.8261;0.03667
"essentiel";0.29974;0.04731;-0.62322;0.43786;-0.26595;0.13303
"documentation";-0.15506;0.02026;-0.86884;1.36162;-0.04854;0.00709
"Louis";-0.95097;0.76197;-0.09436;0.01606;0.20861;0.13096
"justice";-0.11449;0.00197;0.09235;0.00275;0.36795;0.07276
"mener";0.07559;0.00146;0.48959;0.13125;0.07299;0.00487
"dignité";-0.79292;0.00946;1.26151;0.05126;-0.99387;0.05308
"mobiliser";0.8541;0.25244;0.24828;0.04567;0.27174;0.09127
"système";-0.08927;0.00576;-0.23868;0.08808;-0.01942;0.00097
"changement";0.77128;0.44752;0.6309;0.64102;0.68356;1.25548
"individu";-0.58234;0.08674;-0.00679;3e-05;0.2169;0.04298
"parmi";0.06275;0.00255;-0.23444;0.07612;0.06776;0.01061
"nombre";0.62766;0.20746;-0.32732;0.12078;-0.27296;0.14013
"santé";0.97415;0.57112;-0.71225;0.6536;-0.67506;0.97958
"respecter";0.50732;0.01549;-0.50405;0.03273;-0.03836;0.00032
"%";0.13002;0.01399;-0.76108;1.02613;-0.21755;0.13988
"inviter";0.15731;0.00856;-0.34061;0.08595;0.08017;0.00794
"civique";0.77292;0.16179;0.17463;0.01768;0.37596;0.13673
"avant";-0.4908;0.08699;0.25618;0.05073;-0.21761;0.06107
"connaissance";0.04436;0.00053;-0.13611;0.01074;-0.37805;0.13825
"maritime";0.41922;0.14279;0.34869;0.21147;0.25184;0.18405
"XIXe";-0.78924;0.34677;0.35657;0.15153;-0.20014;0.07965
"mesure";0.18255;0.01203;-0.35334;0.09651;-0.47001;0.28492
"la";-0.68457;0.15512;-0.18493;0.02423;0.35535;0.14929
"utiliser";0.06812;0.00182;-0.00304;1e-05;-0.02909;0.00118
"nécessaire";0.3956;0.04003;0.19487;0.02079;0.19075;0.03324
"domaine";0.21279;0.02248;-0.11281;0.01353;0.30832;0.16858
"union";0.86887;0.54521;0.56488;0.49332;0.50073;0.64676
"école";-0.22371;0.01431;-0.12937;0.01024;-0.53941;0.29708
"colonial";-0.86335;0.59438;0.32486;0.18016;-0.12945;0.04773
"échange";-0.07667;0.00398;0.07127;0.00736;0.12284;0.03649
"aspect";-0.13368;0.01156;0.08805;0.01074;-0.15388;0.05472
