  ;facteur;NA;NA;NA;NA;NA;NA;NA;NA;NA;
démocratique;0.085;0.029;0.485;0.001;0.177;0.013;0.105;0.031;0.059;0.005
démarche;0.459;0.06;0.098;0.023;0.033;0.128;0.001;0.003;0.039;0.008
http;0.021;0;0.233;0.493;0.136;0.005;0.005;0.009;0.032;0.046
collège;0.007;0.216;0.105;0.358;0;0.001;0.091;0.203;0;0.007
séance;0.239;0.018;0.105;0.009;0.003;0.035;0.163;0.212;0.037;0.177
non;0.026;0.005;0.012;0.276;0.019;0.002;0.218;0.002;0.013;0.004
y;0.004;0.135;0.07;0.25;0.004;0.341;0.035;0.002;0.127;0
important;0.008;0.007;0.073;0.122;0.087;0.142;0.001;0.321;0.052;0.051
capacité;0.337;0.007;0.006;0.036;0.044;0.187;0.196;0.011;0.082;0.011
heure;0.024;0.021;0.118;0.276;0.224;0.01;0.004;0.071;0.21;0.033
encore;0.092;0.148;0.038;0.174;0.071;0.028;0.15;0.287;0.008;0
période;0.488;0.016;0.039;0.028;0.083;0;0.004;0.058;0.004;0.276
local;0.474;0.001;0.052;0.013;0.127;0.003;0.054;0.134;0.127;0.008
dynamique;0.241;0.601;0;0.011;0.063;0.002;0.011;0.004;0.009;0.054
nombreux;0.181;0.057;0.165;0.095;0.058;0.038;0.004;0.007;0.069;0.256
entrée;0.051;0.001;0.316;0.025;0.01;0.132;0;0.142;0.001;0.198
document;0.1;0.035;0.055;0.404;0;0.299;0.003;0.03;0.03;0.027
Afrique;0.026;0.019;0.094;0.137;0.012;0.004;0.002;0.259;0.344;0.046
règle;0.006;0.009;0.444;0.169;0.007;0.003;0.029;0.101;0.013;0.151
article;0.101;0.102;0.103;0.002;0.007;0.26;0.236;0.024;0.03;0.131
religieux;0.117;0.006;0.105;0.158;0.256;0.049;0.099;0.136;0;0.037
très;0.386;0.012;0.164;0.219;0.009;0.003;0.006;0.022;0.129;0.045
aller;0.059;0.04;0.584;0.149;0.118;0.001;0;0.009;0.001;0.001
fin;0.47;0.003;0;0.155;0.038;0.117;0.186;0.002;0.005;0.015
souligner;0.565;0;0.004;0;0.08;0.107;0.014;0.027;0.093;0.001
proposition;0.239;0.018;0.105;0.009;0.003;0.035;0.163;0.212;0.037;0.177
enseignement;0.045;0.159;0.53;0;0.109;0;0.014;0.002;0.125;0.015
